FASE,STEP,F_Ini,F_Fin,Length,TIPO
Fase 1,RDD Clean Tokens (stopwords+tokenizacion),2026-02-26T19:59:54+01:00,2026-02-26T19:59:54+01:00,0,Auto
Fase 1,RDD Clean Tokens (stopwords+tokenizacion),2026-02-26T20:10:02+01:00,2026-02-26T20:10:03+01:00,0,Auto
Fase 1,RDD Clean Tokens (stopwords+tokenizacion),2026-02-26T20:13:17+01:00,2026-02-26T20:13:18+01:00,0,Auto
Fase 1,RDD Clean Tokens (stopwords+tokenizacion),2026-02-26T20:15:55+01:00,2026-02-26T20:15:58+01:00,202359,Auto
Fase 1,RDD Clean Tokens (stopwords+tokenizacion),2026-03-04T12:23:23+01:00,2026-03-04T12:23:23+01:00,0,Auto
Fase 1,RDD Clean Tokens (stopwords+tokenizacion),2026-03-04T12:27:38+01:00,2026-03-04T12:27:49+01:00,0,Auto
Fase 1,RDD Clean Tokens (stopwords+tokenizacion),2026-03-04T12:34:18+01:00,2026-03-04T12:34:19+01:00,0,Auto
Fase 1,RDD Clean Tokens (stopwords+tokenizacion),2026-03-04T12:42:14+01:00,2026-03-04T12:42:16+01:00,0,Auto
Fase 1,RDD Clean Tokens (stopwords+tokenizacion),2026-03-04T12:46:42+01:00,2026-03-04T12:46:44+01:00,0,Auto
Fase 1,RDD Clean Tokens (stopwords+tokenizacion),2026-03-04T14:11:47+01:00,2026-03-04T14:11:49+01:00,202359,Auto
Fase 2,WordCount (distinct tokens),2026-03-04T14:11:53+01:00,2026-03-04T14:11:55+01:00,22365,Auto
Fase 2,Insights Sanderson terms (wordcount filtered),2026-03-04T14:11:55+01:00,2026-03-04T14:11:57+01:00,2,Auto
Fase 3,Export PowerBI CSV (single file),2026-03-04T14:11:59+01:00,2026-03-04T14:11:59+01:00,2,Auto
